candidate_index,phase,full_cost,first_success_cost,label,pi_0,pi_1,pi_2,pi_3,pi_4,pi_5,pi_6
274,upstream,239,28,1,success,untested,untested,untested,untested,untested,untested
275,upstream,206,27,1,success,untested,untested,untested,untested,untested,untested
276,upstream,200,25,1,success,untested,untested,untested,untested,untested,untested
277,upstream,210,28,1,success,untested,untested,untested,untested,untested,untested
278,upstream,213,31,1,success,untested,untested,untested,untested,untested,untested
279,upstream,169,22,1,success,untested,untested,untested,untested,untested,untested
280,upstream,216,21,1,success,untested,untested,untested,untested,untested,untested
281,upstream,152,19,1,success,untested,untested,untested,untested,untested,untested
282,upstream,143,18,1,success,untested,untested,untested,untested,untested,untested
283,upstream,144,18,1,success,untested,untested,untested,untested,untested,untested
284,upstream,125,17,1,success,untested,untested,untested,untested,untested,untested
285,upstream,120,16,1,success,untested,untested,untested,untested,untested,untested
286,upstream,114,15,1,success,untested,untested,untested,untested,untested,untested
287,downstream,107,14,1,success,untested,untested,untested,untested,untested,untested
288,downstream,101,14,1,success,untested,untested,untested,untested,untested,untested
289,downstream,95,14,1,success,untested,untested,untested,untested,untested,untested
290,downstream,88,12,1,success,untested,untested,untested,untested,untested,untested
291,downstream,74,10,1,success,untested,untested,untested,untested,untested,untested
292,downstream,64,9,1,success,untested,untested,untested,untested,untested,untested
293,downstream,53,8,1,success,untested,untested,untested,untested,untested,untested
294,downstream,47,7,1,success,untested,untested,untested,untested,untested,untested
295,downstream,32,4,1,success,untested,untested,untested,untested,untested,untested
296,downstream,24,3,1,success,untested,untested,untested,untested,untested,untested
297,downstream,18,3,1,success,untested,untested,untested,untested,untested,untested
